time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,4,4,132,21
2023-12-07 00:00:00+00:00,15,8,79,36
2023-12-08 00:00:00+00:00,509,78,294,68
2023-12-09 00:00:00+00:00,147,40,81,24
2023-12-10 00:00:00+00:00,3,3,49,12
2023-12-11 00:00:00+00:00,1323,104,149,43
2023-12-12 00:00:00+00:00,43,22,221,40
2023-12-13 00:00:00+00:00,86,19,211,38
2023-12-14 00:00:00+00:00,108,24,84,38
2023-12-15 00:00:00+00:00,20,8,165,33
2023-12-16 00:00:00+00:00,126,31,26,13
2023-12-17 00:00:00+00:00,2,2,40,11
2023-12-18 00:00:00+00:00,1003,76,257,49
2023-12-19 00:00:00+00:00,17,8,210,41
2023-12-20 00:00:00+00:00,120,38,253,88
2023-12-21 00:00:00+00:00,15,10,194,71
2023-12-22 00:00:00+00:00,10,7,263,38
2023-12-23 00:00:00+00:00,3,3,31,10
2023-12-24 00:00:00+00:00,4,3,91,13
2023-12-25 00:00:00+00:00,810,57,90,11
2023-12-26 00:00:00+00:00,76,21,96,22
2023-12-27 00:00:00+00:00,7,5,188,34
2023-12-28 00:00:00+00:00,48,17,182,29
2023-12-29 00:00:00+00:00,127,32,91,30
2023-12-30 00:00:00+00:00,39,5,70,30
2023-12-31 00:00:00+00:00,6,6,225,47
2024-01-01 00:00:00+00:00,393,49,98,22
2024-01-02 00:00:00+00:00,227,48,447,108
2024-01-03 00:00:00+00:00,64,22,266,47
2024-01-04 00:00:00+00:00,28,13,204,57
2024-01-05 00:00:00+00:00,44,15,210,45
2024-01-06 00:00:00+00:00,67,13,18,5
2024-01-07 00:00:00+00:00,27,5,42,9
2024-01-08 00:00:00+00:00,395,39,223,48
2024-01-09 00:00:00+00:00,15,12,163,36
2024-01-10 00:00:00+00:00,112,21,303,37
2024-01-11 00:00:00+00:00,76,15,342,42
2024-01-12 00:00:00+00:00,27,13,146,28
2024-01-13 00:00:00+00:00,4,4,180,17
2024-01-14 00:00:00+00:00,2,2,15,10
2024-01-15 00:00:00+00:00,512,48,166,36
2024-01-16 00:00:00+00:00,79,20,251,36
2024-01-17 00:00:00+00:00,83,21,561,42
2024-01-18 00:00:00+00:00,17,14,321,39
2024-01-19 00:00:00+00:00,56,21,104,22
2024-01-20 00:00:00+00:00,38,22,17,9
2024-01-21 00:00:00+00:00,197,38,90,44
2024-01-22 00:00:00+00:00,1320,94,251,45
2024-01-23 00:00:00+00:00,44,17,585,223
2024-01-24 00:00:00+00:00,168,45,579,141
2024-01-25 00:00:00+00:00,51,15,192,64
2024-01-26 00:00:00+00:00,46,11,178,47
2024-01-27 00:00:00+00:00,122,21,98,32
2024-01-28 00:00:00+00:00,9,9,72,38
2024-01-29 00:00:00+00:00,1442,129,232,83
2024-01-30 00:00:00+00:00,12,9,272,57
2024-01-31 00:00:00+00:00,16,11,381,44
2024-02-01 00:00:00+00:00,130,29,180,40
2024-02-02 00:00:00+00:00,416,66,204,40
